planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
HD 73583 c,HD 73583,2.39,9.7,18.87974,498.0,4511.0,10.2,0.264784180937181,0
HD 73583 c,HD 73583,2.73,22.5,18.8805,517.8,4582.0,11.76,0.20405677655677662,0
HD 80653 b,HD 80653,1.613,5.72,0.719573,2463.0,5959.0,6130.0,0.0,0
HD 93963 A b,HD 93963 A,1.35,7.8,1.0391353,2042.0,5987.0,2898.0,0.0,0
HD 93963 A c,HD 93963 A,3.228,19.2,3.6451398,1344.0,5987.0,543.8,0.0,0
HD 95338 b,HD 95338,3.89,42.44,55.087,385.0,5212.0,7.42,0.3494674034159084,0
HIP 116454 b,HIP 116454,2.53,10.1,9.0949,745.0,5089.0,51.4,0.0,0
HIP 116454 b,HIP 116454,2.469,9.7,9.1004157,753.2,5048.0,51.2858,0.0,0
HIP 29442 c,TOI-469,1.551,4.5,3.5379559,1123.0,5289.0,451.0,0.0,0
HIP 29442 c,TOI-469,1.58,4.5,3.53796,1217.0,5289.0,373.0,0.0,0
HIP 29442 d,TOI-469,1.37,5.1,6.42975,998.0,5289.0,167.0,0.0,0
HIP 29442 d,TOI-469,1.538,5.14,6.429575,920.0,5289.0,203.0,0.0,0
HIP 41378 b,HIP 41378,2.595,6.89,15.57208,959.0,6320.0,140.0,0.0,0
HIP 41378 c,HIP 41378,2.727,4.4,31.70603,757.0,6320.0,54.0,0.0,0
HIP 41378 d,HIP 41378,3.54,4.6,278.3618,367.0,6320.0,3.01,0.44024093179399004,0
HIP 41378 e,HIP 41378,4.92,12.0,369.0,335.0,6320.0,2.1,0.42069783197831984,0
HIP 41378 f,HIP 41378,9.2,12.0,542.07975,294.0,6320.0,1.24,0.4492753623188406,0
HIP 65 A b,HIP 65 A,22.75427,1021.18779,0.9809734,1411.0,4590.0,661.0,0.0,0
HIP 8152 b,HIP 8152,2.56,7.8,10.75101,855.0,5530.0,88.9,0.0,0
HIP 8152 c,HIP 8152,2.48,9.4,19.6053,699.0,5530.0,39.9,0.0,0
HIP 9618 b,HIP 9618,3.9,10.0,20.772907,663.4,5609.0,40.3,0.0,0
HIP 9618 b,HIP 9618,3.75,8.4,20.77288,685.0,5550.0,36.8,0.0,0
HIP 9618 c,HIP 9618,3.34,7.9,52.5636,503.0,5550.0,10.7,0.2291839317146298,0
HIP 9618 c,HIP 9618,3.343,18.3,52.563491,486.9,5609.0,11.7,0.22988319733428794,0
K2-10 b,K2-10,3.773,25.2,19.30553,649.0,5533.0,42.1,0.0,0
K2-100 b,K2-100,3.57,8.0,1.67389,1720.0,6044.0,2100.0,0.0,0
K2-100 b,K2-100,3.88,21.8,1.6739035,1841.0,5945.0,1915.0,0.0,0
K2-105 b,K2-105,3.4,15.4,8.26726,805.0,5373.0,100.0,0.0,0
K2-108 b,K2-108,5.28,59.4,4.73401,1446.0,5474.0,762.0,0.0,0
K2-108 b,K2-108,5.28,59.4,4.73401,1446.0,5474.0,762.0,0.0,0
K2-110 b,K2-110,2.558,17.0,13.86368,571.0,4868.0,25.3,0.14187062758384564,0
K2-110 b,K2-110,2.592,15.9,13.86375,638.0,5010.0,27.7,0.04849755415793153,0
K2-111 b,K2-111,1.184,5.4,5.35232,1019.0,5832.0,255.0,0.0,0
K2-111 b,K2-111,1.82,5.58,5.3518,1309.0,5775.0,490.0,0.0,0
K2-114 b,K2-114,10.44677001,638.83509807,11.3909311,701.0,4920.0,40.0,0.0,0
K2-12 b,K2-12,2.44,5.2,8.28246,1026.0,5672.0,185.0,0.0,0
K2-121 b,K2-121,7.16,51.0,5.185738,716.0,4526.0,62.5,0.0,0
